,awardYear,category,knownName.en,motivation,prizeAmountAdjusted,wikipedia.english,links.href
65,2022,Literature,Annie Ernaux,"for the courage and clinical acuity with which she uncovers the roots, estrangements and  collective restraints of personal memory",10000000.0,https://en.wikipedia.org/wiki/Annie_Ernaux,https://api.nobelprize.org/2/laureate/1017
645,2022,Chemistry,Morten Meldal,for the development of click chemistry and bioorthogonal chemistry,10000000.0,https://en.wikipedia.org/wiki/Morten_P._Meldal,https://api.nobelprize.org/2/laureate/1016
132,2022,Chemistry,Carolyn Bertozzi,for the development of click chemistry and bioorthogonal chemistry,10000000.0,https://en.wikipedia.org/wiki/Carolyn_R._Bertozzi,https://api.nobelprize.org/2/laureate/1015
886,2022,Physiology or Medicine,Svante Pääbo,for his discoveries concerning the genomes of extinct hominins and human evolution,10000000.0,https://en.wikipedia.org/wiki/Svante_Pääbo,https://api.nobelprize.org/2/laureate/1011
199,2022,Economic Sciences,Douglas Diamond,for research on banks and financial crises,10000000.0,https://en.wikipedia.org/wiki/Douglas_Diamond,https://api.nobelprize.org/2/laureate/1022
18,2022,Physics,Alain Aspect,"for experiments with entangled photons, establishing the violation of Bell inequalities and  pioneering quantum information science",10000000.0,https://en.wikipedia.org/wiki/Alain_Aspect,https://api.nobelprize.org/2/laureate/1012
489,2022,Physics,John Clauser,"for experiments with entangled photons, establishing the violation of Bell inequalities and  pioneering quantum information science",10000000.0,https://en.wikipedia.org/wiki/John_Clauser,https://api.nobelprize.org/2/laureate/1013
601,2021,Peace,Maria Ressa,"for their efforts to safeguard freedom of expression, which is a precondition for democracy and lasting peace",10836735.0,https://en.wikipedia.org/wiki/Maria_Ressa,https://api.nobelprize.org/2/laureate/1005
338,2021,Physics,Giorgio Parisi,for the discovery of the interplay of disorder and fluctuations in physical systems from atomic to planetary scales,10836735.0,https://en.wikipedia.org/wiki/Giorgio_Parisi,https://api.nobelprize.org/2/laureate/1001
4,2021,Literature,Abdulrazak Gurnah,for his uncompromising and compassionate penetration of the effects of colonialism and the fate of the refugee in the gulf between cultures and continents,10836735.0,https://en.wikipedia.org/wiki/Abdulrazak_Gurnah,https://api.nobelprize.org/2/laureate/1004
72,2021,Physiology or Medicine,Ardem Patapoutian,for their discoveries of receptors for temperature and touch,10836735.0,https://en.wikipedia.org/wiki/Ardem_Patapoutian,https://api.nobelprize.org/2/laureate/998
101,2021,Chemistry,Benjamin List,for the development of asymmetric organocatalysis,10836735.0,https://en.wikipedia.org/wiki/Benjamin_List,https://api.nobelprize.org/2/laureate/1002
175,2021,Economic Sciences,David Card,for his empirical contributions to labour economics,10836735.0,https://en.wikipedia.org/wiki/David_Card,https://api.nobelprize.org/2/laureate/1007
547,2021,Physics,Klaus Hasselmann,"for the physical modelling of Earth’s climate, quantifying variability and reliably predicting global warming",10836735.0,https://en.wikipedia.org/wiki/Klaus_Hasselmann,https://api.nobelprize.org/2/laureate/1000
519,2021,Economic Sciences,Joshua D. Angrist,for their methodological contributions to the analysis of causal relationships,10836735.0,https://en.wikipedia.org/wiki/Joshua_Angrist,https://api.nobelprize.org/2/laureate/1008
348,2021,Economic Sciences,Guido W. Imbens,for their methodological contributions to the analysis of causal relationships,10836735.0,https://en.wikipedia.org/wiki/Guido_Imbens,https://api.nobelprize.org/2/laureate/1009
191,2021,Peace,Dmitry Muratov,"for their efforts to safeguard freedom of expression, which is a precondition for democracy and lasting peace",10836735.0,https://en.wikipedia.org/wiki/Dmitry_Muratov,https://api.nobelprize.org/2/laureate/1006
183,2021,Chemistry,David W.C. MacMillan,for the development of asymmetric organocatalysis,10836735.0,https://en.wikipedia.org/wiki/David_MacMillan,https://api.nobelprize.org/2/laureate/1003
180,2021,Physiology or Medicine,David Julius,for their discoveries of receptors for temperature and touch,10836735.0,https://en.wikipedia.org/wiki/David_Julius,https://api.nobelprize.org/2/laureate/997
889,2021,Physics,Syukuro Manabe,"for the physical modelling of Earth’s climate, quantifying variability and reliably predicting global warming",10836735.0,https://en.wikipedia.org/wiki/Syukuro_Manabe,https://api.nobelprize.org/2/laureate/999
713,2020,Economic Sciences,Paul R. Milgrom,for improvements to auction theory and inventions of new auction formats,11074035.0,https://en.wikipedia.org/wiki/Paul_Milgrom,https://api.nobelprize.org/2/laureate/995
374,2020,Physiology or Medicine,Harvey J. Alter,for the discovery of Hepatitis C virus,11074035.0,https://en.wikipedia.org/wiki/Harvey_J._Alter,https://api.nobelprize.org/2/laureate/985
751,2020,Physics,Reinhard Genzel,for the discovery of a supermassive compact object at the centre of our galaxy,11074035.0,https://en.wikipedia.org/wiki/Reinhard_Genzel,https://api.nobelprize.org/2/laureate/989
588,2020,Literature,Louise Glück,for her unmistakable poetic voice that with austere beauty makes individual existence universal,11074035.0,https://en.wikipedia.org/wiki/Louise_Glück,https://api.nobelprize.org/2/laureate/993
776,2020,Economic Sciences,Robert B. Wilson,for improvements to auction theory and inventions of new auction formats,11074035.0,https://en.wikipedia.org/wiki/Robert_B._Wilson,https://api.nobelprize.org/2/laureate/996
807,2020,Physics,Roger Penrose,for the discovery that black hole formation is a robust prediction of the general theory of relativity,11074035.0,https://en.wikipedia.org/wiki/Roger_Penrose,https://api.nobelprize.org/2/laureate/988
470,2020,Chemistry,Jennifer A. Doudna,for the development of a method for genome editing,11074035.0,https://en.wikipedia.org/wiki/Jennifer_Doudna,https://api.nobelprize.org/2/laureate/992
235,2020,Chemistry,Emmanuelle Charpentier,for the development of a method for genome editing,11074035.0,https://en.wikipedia.org/wiki/Emmanuelle_Charpentier,https://api.nobelprize.org/2/laureate/991
58,2020,Physics,Andrea Ghez,for the discovery of a supermassive compact object at the centre of our galaxy,11074035.0,https://en.wikipedia.org/wiki/Andrea_M._Ghez,https://api.nobelprize.org/2/laureate/990
631,2020,Physiology or Medicine,Michael Houghton,for the discovery of Hepatitis C virus,11074035.0,https://en.wikipedia.org/wiki/Michael_Houghton_(virologist),https://api.nobelprize.org/2/laureate/986
143,2020,Physiology or Medicine,Charles M. Rice,for the discovery of Hepatitis C virus,11074035.0,https://en.wikipedia.org/wiki/Charles_M._Rice,https://api.nobelprize.org/2/laureate/987
983,2020,Peace,,"for its efforts to combat hunger, for its contribution to bettering conditions for peace in conflict-affected areas and for acting as a driving force in efforts to prevent the use of hunger as a weapon of war and conflict",11074035.0,https://en.wikipedia.org/wiki/World_Food_Programme,https://api.nobelprize.org/2/laureate/994
7,2019,Peace,Abiy Ahmed Ali,"for his efforts to achieve peace and international cooperation, and in particular for his decisive initiative to resolve the border conflict with neighbouring Eritrea",10013620.0,https://en.wikipedia.org/wiki/Abiy_Ahmed,https://api.nobelprize.org/2/laureate/981
346,2019,Physiology or Medicine,Gregg L. Semenza,for their discoveries of how cells sense and adapt to oxygen availability,10013620.0,https://en.wikipedia.org/wiki/Gregg_L._Semenza,https://api.nobelprize.org/2/laureate/972
454,2019,Physics,James Peebles,for theoretical discoveries in physical cosmology,10013620.0,https://en.wikipedia.org/wiki/Jim_Peebles,https://api.nobelprize.org/2/laureate/973
966,2019,Physiology or Medicine,William G. Kaelin Jr,for their discoveries of how cells sense and adapt to oxygen availability,10013620.0,https://en.wikipedia.org/wiki/William_Kaelin_Jr.,https://api.nobelprize.org/2/laureate/970
190,2019,Physics,Didier Queloz,for the discovery of an exoplanet orbiting a solar-type star,10013620.0,https://en.wikipedia.org/wiki/Didier_Queloz,https://api.nobelprize.org/2/laureate/975
638,2019,Physics,Michel Mayor,for the discovery of an exoplanet orbiting a solar-type star,10013620.0,https://en.wikipedia.org/wiki/Michel_Mayor,https://api.nobelprize.org/2/laureate/974
253,2019,Economic Sciences,Esther Duflo,for their experimental approach to alleviating global poverty,10013620.0,https://en.wikipedia.org/wiki/Esther_Duflo,https://api.nobelprize.org/2/laureate/983
632,2019,Economic Sciences,Michael Kremer,for their experimental approach to alleviating global poverty,10013620.0,https://en.wikipedia.org/wiki/Michael_Kremer,https://api.nobelprize.org/2/laureate/984
724,2019,Literature,Peter Handke,for an influential work that with linguistic ingenuity has explored the periphery and the specificity of human experience,10013620.0,https://en.wikipedia.org/wiki/Peter_Handke,https://api.nobelprize.org/2/laureate/980
16,2019,Chemistry,Akira Yoshino,for the development of lithium-ion batteries,10013620.0,https://en.wikipedia.org/wiki/Akira_Yoshino,https://api.nobelprize.org/2/laureate/978
871,2019,Physiology or Medicine,Sir Peter J. Ratcliffe,for their discoveries of how cells sense and adapt to oxygen availability,10013620.0,https://en.wikipedia.org/wiki/Peter_J._Ratcliffe,https://api.nobelprize.org/2/laureate/971
483,2019,Chemistry,John B. Goodenough,for the development of lithium-ion batteries,10013620.0,https://en.wikipedia.org/wiki/John_B._Goodenough,https://api.nobelprize.org/2/laureate/976
594,2019,Chemistry,M. Stanley Whittingham,for the development of lithium-ion batteries,10013620.0,https://en.wikipedia.org/wiki/M._Stanley_Whittingham,https://api.nobelprize.org/2/laureate/977
6,2019,Economic Sciences,Abhijit Banerjee,for their experimental approach to alleviating global poverty,10013620.0,https://en.wikipedia.org/wiki/Abhijit_Banerjee,https://api.nobelprize.org/2/laureate/982
710,2018,Economic Sciences,Paul M. Romer,for integrating technological innovations into long-run macroeconomic analysis,10195200.0,https://en.wikipedia.org/wiki/Paul_Romer,https://api.nobelprize.org/2/laureate/969
77,2018,Physics,Arthur Ashkin,for the optical tweezers and their application to biological systems,10195200.0,https://en.wikipedia.org/wiki/Arthur_Ashkin,https://api.nobelprize.org/2/laureate/960
453,2018,Physiology or Medicine,James P. Allison,for their discovery of cancer therapy by inhibition of negative immune regulation,10195200.0,https://en.wikipedia.org/wiki/James_P._Allison,https://api.nobelprize.org/2/laureate/958
960,2018,Economic Sciences,William D. Nordhaus,for integrating climate change into long-run macroeconomic analysis,10195200.0,https://en.wikipedia.org/wiki/William_Nordhaus,https://api.nobelprize.org/2/laureate/968
329,2018,Physics,Gérard Mourou,"for their method of generating high-intensity, ultra-short optical pulses",10195200.0,https://en.wikipedia.org/wiki/Gérard_Mourou,https://api.nobelprize.org/2/laureate/961
651,2018,Peace,Nadia Murad,for their efforts to end the use of sexual violence as a weapon of war and armed conflict,10195200.0,https://en.wikipedia.org/wiki/Nadia_Murad,https://api.nobelprize.org/2/laureate/967
319,2018,Chemistry,George P. Smith,for the phage display of peptides and antibodies,10195200.0,https://en.wikipedia.org/wiki/George_Smith_(chemist),https://api.nobelprize.org/2/laureate/964
893,2018,Physiology or Medicine,Tasuku Honjo,for their discovery of cancer therapy by inhibition of negative immune regulation,10195200.0,https://en.wikipedia.org/wiki/Tasuku_Honjo,https://api.nobelprize.org/2/laureate/959
195,2018,Physics,Donna Strickland,"for their method of generating high-intensity, ultra-short optical pulses",10195200.0,https://en.wikipedia.org/wiki/Donna_Strickland,https://api.nobelprize.org/2/laureate/962
859,2018,Chemistry,Sir Gregory P. Winter,for the phage display of peptides and antibodies,10195200.0,https://en.wikipedia.org/wiki/Gregory_Winter,https://api.nobelprize.org/2/laureate/965
184,2018,Peace,Denis Mukwege,for their efforts to end the use of sexual violence as a weapon of war and armed conflict,10195200.0,https://en.wikipedia.org/wiki/Denis_Mukwege,https://api.nobelprize.org/2/laureate/966
675,2018,Literature,Olga Tokarczuk,for a narrative imagination that with encyclopedic passion represents the crossing of boundaries as a form of life,10013620.0,https://en.wikipedia.org/wiki/Olga_Tokarczuk,https://api.nobelprize.org/2/laureate/979
270,2018,Chemistry,Frances H. Arnold,for the directed evolution of enzymes,10195200.0,https://en.wikipedia.org/wiki/Frances_Arnold,https://api.nobelprize.org/2/laureate/963
745,2017,Physics,Rainer Weiss,for decisive contributions to the LIGO detector and the observation of gravitational waves,10394780.0,https://en.wikipedia.org/wiki/Rainer_Weiss,https://api.nobelprize.org/2/laureate/941
761,2017,Chemistry,Richard Henderson,for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution,10394780.0,https://en.wikipedia.org/wiki/Richard_Henderson_(biologist),https://api.nobelprize.org/2/laureate/946
760,2017,Economic Sciences,Richard H. Thaler,for his contributions to behavioural economics,10394780.0,https://en.wikipedia.org/wiki/Richard_Thaler,https://api.nobelprize.org/2/laureate/949
442,2017,Chemistry,Jacques Dubochet,for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution,10394780.0,https://en.wikipedia.org/wiki/Jacques_Dubochet,https://api.nobelprize.org/2/laureate/944
415,2017,Peace,,for its work to draw attention to the catastrophic humanitarian consequences of any use of nuclear weapons and for its ground-breaking efforts to achieve a treaty-based prohibition of such weapons,10394780.0,https://en.wikipedia.org/wiki/International_Campaign_to_Abolish_Nuclear_Weapons,https://api.nobelprize.org/2/laureate/948
93,2017,Physics,Barry C. Barish,for decisive contributions to the LIGO detector and the observation of gravitational waves,10394780.0,https://en.wikipedia.org/wiki/Barry_Barish,https://api.nobelprize.org/2/laureate/942
475,2017,Chemistry,Joachim Frank,for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution,10394780.0,https://en.wikipedia.org/wiki/Joachim_Frank,https://api.nobelprize.org/2/laureate/945
538,2017,Literature,Kazuo Ishiguro,"who, in novels of great emotional force, has uncovered the abyss beneath our illusory sense of connection with the world",10394780.0,https://en.wikipedia.org/wiki/Kazuo_Ishiguro,https://api.nobelprize.org/2/laureate/947
634,2017,Physiology or Medicine,Michael Rosbash,for their discoveries of molecular mechanisms controlling the circadian rhythm,10394780.0,https://en.wikipedia.org/wiki/Michael_Rosbash,https://api.nobelprize.org/2/laureate/939
637,2017,Physiology or Medicine,Michael W. Young,for their discoveries of molecular mechanisms controlling the circadian rhythm,10394780.0,https://en.wikipedia.org/wiki/Michael_W._Young,https://api.nobelprize.org/2/laureate/940
545,2017,Physics,Kip S. Thorne,for decisive contributions to the LIGO detector and the observation of gravitational waves,10394780.0,https://en.wikipedia.org/wiki/Kip_Thorne,https://api.nobelprize.org/2/laureate/943
469,2017,Physiology or Medicine,Jeffrey C. Hall,for their discoveries of molecular mechanisms controlling the circadian rhythm,10394780.0,https://en.wikipedia.org/wiki/Jeffrey_C._Hall,https://api.nobelprize.org/2/laureate/938
434,2016,Physics,J. Michael Kosterlitz,for theoretical discoveries of topological phase transitions and topological phases of matter,9403431.0,https://en.wikipedia.org/wiki/J._Michael_Kosterlitz,https://api.nobelprize.org/2/laureate/930
178,2016,Physics,David J. Thouless,for theoretical discoveries of topological phase transitions and topological phases of matter,9403431.0,https://en.wikipedia.org/wiki/David_J._Thouless,https://api.nobelprize.org/2/laureate/928
102,2016,Chemistry,Bernard L. Feringa,for the design and synthesis of molecular machines,9403431.0,https://en.wikipedia.org/wiki/Ben_Feringa,https://api.nobelprize.org/2/laureate/933
99,2016,Economic Sciences,Bengt Holmström,for their contributions to contract theory,9403431.0,https://en.wikipedia.org/wiki/Bengt_Holmström,https://api.nobelprize.org/2/laureate/936
521,2016,Peace,Juan Manuel Santos,for his resolute efforts to bring the country's more than 50-year-long civil war to an end,9403431.0,https://en.wikipedia.org/wiki/Juan_Manuel_Santos,https://api.nobelprize.org/2/laureate/934
677,2016,Economic Sciences,Oliver Hart,for their contributions to contract theory,9403431.0,https://en.wikipedia.org/wiki/Oliver_Hart_(economist),https://api.nobelprize.org/2/laureate/935
111,2016,Literature,Bob Dylan,for having created new poetic expressions within the great American song tradition,9403431.0,https://en.wikipedia.org/wiki/Bob_Dylan,https://api.nobelprize.org/2/laureate/937
260,2016,Physics,F. Duncan M. Haldane,for theoretical discoveries of topological phase transitions and topological phases of matter,9403431.0,https://en.wikipedia.org/wiki/Duncan_Haldane,https://api.nobelprize.org/2/laureate/929
988,2016,Physiology or Medicine,Yoshinori Ohsumi,for his discoveries of mechanisms for autophagy,9403431.0,https://en.wikipedia.org/wiki/Yoshinori_Ohsumi,https://api.nobelprize.org/2/laureate/927
863,2016,Chemistry,Sir J. Fraser Stoddart,for the design and synthesis of molecular machines,9403431.0,https://en.wikipedia.org/wiki/Fraser_Stoddart,https://api.nobelprize.org/2/laureate/932
468,2016,Chemistry,Jean-Pierre Sauvage,for the design and synthesis of molecular machines,9403431.0,https://en.wikipedia.org/wiki/Jean-Pierre_Sauvage,https://api.nobelprize.org/2/laureate/931
921,2015,Physiology or Medicine,Tu Youyou,for her discoveries concerning a novel therapy against Malaria,9498044.0,https://en.wikipedia.org/wiki/Tu_Youyou,https://api.nobelprize.org/2/laureate/918
711,2015,Chemistry,Paul Modrich,for mechanistic studies of DNA repair,9498044.0,https://en.wikipedia.org/wiki/Paul_L._Modrich,https://api.nobelprize.org/2/laureate/922
78,2015,Physics,Arthur B. McDonald,"for the discovery of neutrino oscillations, which shows that neutrinos have mass",9498044.0,https://en.wikipedia.org/wiki/Arthur_B._McDonald,https://api.nobelprize.org/2/laureate/920
829,2015,Physiology or Medicine,Satoshi Ōmura,for their discoveries concerning a novel therapy against infections caused by roundworm parasites,9498044.0,https://en.wikipedia.org/wiki/Satoshi_Ōmura,https://api.nobelprize.org/2/laureate/917
914,2015,Chemistry,Tomas Lindahl,for mechanistic studies of DNA repair,9498044.0,https://en.wikipedia.org/wiki/Tomas_Lindahl,https://api.nobelprize.org/2/laureate/921
892,2015,Physics,Takaaki Kajita,"for the discovery of neutrino oscillations, which shows that neutrinos have mass",9498044.0,https://en.wikipedia.org/wiki/Takaaki_Kajita,https://api.nobelprize.org/2/laureate/919
63,2015,Economic Sciences,Angus Deaton,"for his analysis of consumption, poverty, and welfare",9498044.0,https://en.wikipedia.org/wiki/Angus_Deaton,https://api.nobelprize.org/2/laureate/926
90,2015,Chemistry,Aziz Sancar,for mechanistic studies of DNA repair,9498044.0,https://en.wikipedia.org/wiki/Aziz_Sancar,https://api.nobelprize.org/2/laureate/923
887,2015,Literature,Svetlana Alexievich,"for her polyphonic writings, a monument to suffering and courage in our time",9498044.0,https://en.wikipedia.org/wiki/Svetlana_Alexievich,https://api.nobelprize.org/2/laureate/924
959,2015,Physiology or Medicine,William C. Campbell,for their discoveries concerning a novel therapy against infections caused by roundworm parasites,9498044.0,https://en.wikipedia.org/wiki/William_C._Campbell_(scientist),https://api.nobelprize.org/2/laureate/916
657,2015,Peace,,for its decisive contribution to the building of a pluralistic democracy in Tunisia in the wake of the Jasmine Revolution of 2011,9498044.0,https://en.wikipedia.org/wiki/Tunisian_National_Dialogue_Quartet,https://api.nobelprize.org/2/laureate/925
210,2014,Physiology or Medicine,Edvard I. Moser,for their discoveries of cells that constitute a positioning system in the brain,9492737.0,https://en.wikipedia.org/wiki/Edvard_Moser,https://api.nobelprize.org/2/laureate/905
424,2014,Physics,Isamu Akasaki,for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources,9492737.0,https://en.wikipedia.org/wiki/Isamu_Akasaki,https://api.nobelprize.org/2/laureate/906
695,2014,Literature,Patrick Modiano,"for the art of memory with which he has evoked the most ungraspable human destinies and
uncovered the life-world of the occupation",9492737.0,https://en.wikipedia.org/wiki/Patrick_Modiano,https://api.nobelprize.org/2/laureate/912
402,2014,Physics,Hiroshi Amano,for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources,9492737.0,https://en.wikipedia.org/wiki/Hiroshi_Amano,https://api.nobelprize.org/2/laureate/907
237,2014,Chemistry,Eric Betzig,for the development of super-resolved fluorescence microscopy,9492737.0,https://en.wikipedia.org/wiki/Eric_Betzig,https://api.nobelprize.org/2/laureate/909
843,2014,Physics,Shuji Nakamura,for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources,9492737.0,https://en.wikipedia.org/wiki/Shuji_Nakamura,https://api.nobelprize.org/2/laureate/908
597,2014,Peace,Malala Yousafzai,for their struggle against the suppression of children and young people and for the right of all children to education,9492737.0,https://en.wikipedia.org/wiki/Malala_Yousafzai,https://api.nobelprize.org/2/laureate/914
962,2014,Chemistry,William E. Moerner,for the development of super-resolved fluorescence microscopy,9492737.0,https://en.wikipedia.org/wiki/William_E._Moerner,https://api.nobelprize.org/2/laureate/911
502,2014,Physiology or Medicine,John O'Keefe,for their discoveries of cells that constitute a positioning system in the brain,9492737.0,https://en.wikipedia.org/wiki/John_O'Keefe_(neuroscientist),https://api.nobelprize.org/2/laureate/903
464,2014,Economic Sciences,Jean Tirole,for his analysis of market power and regulation,9492737.0,https://en.wikipedia.org/wiki/Jean_Tirole,https://api.nobelprize.org/2/laureate/915
625,2014,Physiology or Medicine,May-Britt Moser,for their discoveries of cells that constitute a positioning system in the brain,9492737.0,https://en.wikipedia.org/wiki/May-Britt_Moser,https://api.nobelprize.org/2/laureate/904
878,2014,Chemistry,Stefan W. Hell,for the development of super-resolved fluorescence microscopy,9492737.0,https://en.wikipedia.org/wiki/Stefan_Hell,https://api.nobelprize.org/2/laureate/910
531,2014,Peace,Kailash Satyarthi,for their struggle against the suppression of children and young people and for the right of all children to education,9492737.0,https://en.wikipedia.org/wiki/Kailash_Satyarthi,https://api.nobelprize.org/2/laureate/913
725,2013,Physics,Peter Higgs,"for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN's Large Hadron Collider",9476854.0,https://en.wikipedia.org/wiki/Peter_Higgs,https://api.nobelprize.org/2/laureate/888
633,2013,Chemistry,Michael Levitt,for the development of multiscale models for complex chemical systems,9476854.0,https://en.wikipedia.org/wiki/Michael_Levitt,https://api.nobelprize.org/2/laureate/890
449,2013,Physiology or Medicine,James E. Rothman,"for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells",9476854.0,https://en.wikipedia.org/wiki/James_Rothman,https://api.nobelprize.org/2/laureate/884
608,2013,Chemistry,Martin Karplus,for the development of multiscale models for complex chemical systems,9476854.0,https://en.wikipedia.org/wiki/Martin_Karplus,https://api.nobelprize.org/2/laureate/889
73,2013,Chemistry,Arieh Warshel,for the development of multiscale models for complex chemical systems,9476854.0,https://en.wikipedia.org/wiki/Arieh_Warshel,https://api.nobelprize.org/2/laureate/891
792,2013,Economic Sciences,Robert J. Shiller,for their empirical analysis of asset prices,9476854.0,https://en.wikipedia.org/wiki/Robert_J._Shiller,https://api.nobelprize.org/2/laureate/896
749,2013,Physiology or Medicine,Randy W. Schekman,"for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells",9476854.0,https://en.wikipedia.org/wiki/Randy_Schekman,https://api.nobelprize.org/2/laureate/885
274,2013,Physics,François Englert,"for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN's Large Hadron Collider",9476854.0,https://en.wikipedia.org/wiki/François_Englert,https://api.nobelprize.org/2/laureate/887
44,2013,Literature,Alice Munro,master of the contemporary short story,9476854.0,https://en.wikipedia.org/wiki/Alice_Munro,https://api.nobelprize.org/2/laureate/892
254,2013,Economic Sciences,Eugene F. Fama,for their empirical analysis of asset prices,9476854.0,https://en.wikipedia.org/wiki/Eugene_Fama,https://api.nobelprize.org/2/laureate/894
558,2013,Economic Sciences,Lars Peter Hansen,for their empirical analysis of asset prices,9476854.0,https://en.wikipedia.org/wiki/Lars_Peter_Hansen,https://api.nobelprize.org/2/laureate/895
905,2013,Physiology or Medicine,Thomas C. Südhof,"for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells",9476854.0,https://en.wikipedia.org/wiki/Thomas_C._Südhof,https://api.nobelprize.org/2/laureate/886
679,2013,Peace,,for its extensive efforts to eliminate chemical weapons,9476854.0,https://en.wikipedia.org/wiki/Organisation_for_the_Prohibition_of_Chemical_Weapons,https://api.nobelprize.org/2/laureate/893
179,2012,Physics,David J. Wineland,for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems,9471572.0,https://en.wikipedia.org/wiki/David_J._Wineland,https://api.nobelprize.org/2/laureate/877
49,2012,Economic Sciences,Alvin E. Roth,for the theory of stable allocations and the practice of market design,9471572.0,https://en.wikipedia.org/wiki/Alvin_E._Roth,https://api.nobelprize.org/2/laureate/882
